Name,Date,Review,People_Found_Helpful
deepak yadav,"December 14, 2024",App is not working properly.OTP for complaint submission is not coming.Due to this complaint is not registered.please have a look on it.,2
Pritee Kushwaha,"November 26, 2024","I complaint through this app it's been almost a month still pending no body has seen that complaint, nobody's taking action, department is not taking this app seriously, There's no point to complaint.
1 person found this review helpful",0
Jeetendra Kumar,"November 5, 2024","Not working and application crash and it is not working last two weeks
1 person found this review helpful",0
Satwant Kaur,"October 31, 2024","App is not opening now how can we check our old data kindly fix this problem
1 person found this review helpful",0
SANTUSHTI HOSPITAL,"November 2, 2024",Application not working after new update What is the reason ? does any body responsible Does this facility rewoked by UP state government purposely? Or any bug ?,0
Nimit Arora,"December 13, 2024",Poor experience. Always gets stuck at the Send OTP for registration page.,4
chand umar,"May 24, 2024",It is just useless app as all the complaints are closed prematurely without any investigation or resolution. And u can't give feed back to the same as your feedback will not be submitted although they have a option for feedback but it does not work.,68
A Google user,"May 30, 2019","it's an absolutely useless application. In urban area it will not show tehsil Lucknow, you can't even skip it, it's red starred, mandatory to fill. Will show all other 7 tehsils. your problem will not be sorted out. Mild words, will necer be sorted out. Feedback is taken from the red, spam, coloured no. CM, cm office written on it (if you have some no. identifying app.). Seems some bunch of unemployed people, just to oblige them, given the onus of this sensitive job without any responsibility.",40
A Google user,"December 20, 2018",The concept is awesome but the monitoring and implementation part is lacking a lot...if monitoring and implementation is improved then it would really become an amazing app for the public.,4
P A,"December 17, 2020",The app is good. Suggest a change wrt User. The complaint is registered and the department closes the complaint sometimes though no action has been taken and user helplessly cannot do anything other then giving feedback. There should be system that compliant should be kept open for upto five days after saying disposal from office side so that the User / public can comment on the same complaint and get the work done properly.,102
A Google user,"October 9, 2019","what is this toast asking ... go to settings and enable permissions. the tost is blinking all the time when the app has opened, fix it and the app also not working as fast as it should be.",0
Pramod Chandra Sharma,"October 2, 2020","Quick response, but full of false reports. I suggest you to remove this app from play store, as State Govt. machinery is playing its role as usual. Junior officers put false remarks on report without contacting aggreived person and higher officet okays it. What a game. I am uninstalling this app and say to everyone not to download it as it is lullaby app.",0
A Google user,"October 17, 2019",App was not working for last 15 days.Now it has started working but neither REMINDER nor FEED BACK can be sent throgh the app. It always showing that there is some network reason. No proper decision being done throgh this Portal so far and there is no any monitering for REMINDERS and FEED BACKS too.,82
Rakesh Shukla,"September 27, 2022","Hello sir.. actually i am having a problem with signing up whenever i try to open it shows -""You have some network problem"" while other apps are working really ok with that network even they need more network speed comparison to this app.. please look forward to it. ...",13
Manish Negi,"May 22, 2022","This app is very helpful, I have raise complaint against owner for not returning Security amount, The police personnel was not even listening before, but after that they have resolved my complaint in 1-2 days, sad thing is they wrote on legal documents, matter has been already resolved and my alligation were found false. Still Thanks for the the app and UP government for a great service.",2
A Google user,"August 31, 2019",Its functioning the way UP government apps do. Dev made it live with bugs.. i dont know do they test before making any app live. I do request please improve your implementation and QA. Bug is it service in backgroud keep on checking whether permission granted or not in loop when we launch main activity of app.. user cant even interact with it. Please fix it.,3
A Google user,"April 3, 2019",this is very bad app. This Government is making us mad I complaint 4 times but they reject my complaint I am uploading all details reletive complaint even password of my scholarship registration number but they says data incomplete. I think they person are lasy they do not to open pdf and simply write data is insufficient. They are keeping salary in free like keeping from your dads,10
piyush gupta,"March 21, 2023","You will not get any resolution of your matter, no matter how many times you complaint. You will get the call from call centre for formality and they can't help and just disconnect the call everytime. This application will work when the downstream officer take this seriously and act on it. Else it is useless app.",3
A Google user,"November 22, 2018",I appreciate the initiative by UP govt. But my 2* is for poor grievance redressal mechanism. The officials lie in their report that complainant has been aproached regarding their grievance & close the report without providing an opportunity for a feedback. This is frustrating givn one has 2 re-register whole thing frm the scratch. You can introduce any number of apps assuring it to be user friendly;but it is reduced to nothing in the absence of efficient working system.Accountability shd be fixd,12
A Google user,"June 16, 2019","Purpose is awesome, but what is the point of giving language options, when all the departments are in Hindi, if I am choosing English language, everything should be in English. Idea of giving language ootion is to make it easy for people to use it in their comfortable language.",4
Surajkali Chaturvedi,"May 20, 2022",Feedback feature doesn't let you submit your response and same goes for reminders. Since it never ever allows you to submit responses inspite of trying hundred times stating some error......it seems it's done on purpose to let the complaining party not be able to give feedback. Dissatisfied.,26
msv,"October 1, 2022","None of my complaints have been resolved till this date,have been sending reminders but nothing has been done,calls from customer care automatically ends in maximum 14 seconds and if I pick it up in less than 14 seconds either I won't hear them or they say that server is down can't get my complaint data..",14
Anoop Dwivedi,"July 15, 2023","Afer updating the app,it doesn't opening or working, always asked for clearing history of app,i also cleared app cache and data,and reinstall the app but still facing the same..pls look into this and correct the same ASAP.. THANKS",55
Murali Dhar Pandey,"May 6, 2020","Its a great platform to raise and track the issues that leads to speedy resolution of long pending issue. I believe its a landmark initiative for the benefits of the citizens of India. But some actions are immediately needed, like there must be timeline of resolution and automatic alert and reopen the case if not resolved within mentioned timeline by officers and also there must be a stringent action to the officers who close the complaint mentioning resolved status with silly reasons..",8
Rekha Hassija,"February 16, 2022","This is not perfect app. If I want to register complain against loudspeaker, there is no way to upload AUDIO clipping. Besides, the concerned authorities post their review or comment. The concerned authorities must be told to register their contact number if the problem persists.",162
A Google user,"November 14, 2019",Very good app. But there should be facility to attach more than one document. For example I was required to upload three khataunis but I could upload only one page of first khatauni as there is no option to upload more than one attachment.,13
arpit mishra,"August 2, 2021",It is just a fraud going on on the name of greivance redressal mechanism.. Its been a year since I and other residents complained several times for sewer/Drain issue but local administration just send same copy paste false response and complain gets closed without verification by Chitrakoot DM office. Another tool to play with the emotions.. Nothing can chage the system.,31
Dr. Sanjay Pandey,"July 17, 2024",This portal is just a formality. Complaints are not resolved. This is a one way channel only. Many times complaints are closed with remarks which are difficult to understand for a common man. We get call also regarding resolution but the call is also again a formality. Please improve the working and provide solution otherwise it's just a wastage of money.,98
A Google user,"December 1, 2018",I tried to sign up many times but all time it's showing a network issue please try after some time why these apps showing network issue last one month .and why its compalsory to download to track complaints if its compalsory to download to track complaints then please fix network issue as soon as possible because I am not to track my complaints.,3
Ojasw Khare,"March 31, 2023","There is some problem in uploading document. I uploaded document with two different formats in jpeg and pdf but in complaints section, view attachment option was not available. My document doesn't get uploaded.",4
Harshit Tiwari,"January 9, 2022",1. Preview is feature is not provided which is an essential part of any application or website. 2. Uploaded documents are not visible after submission. 3. Departments are not serious they close grievances without any action and there is no option to forward to higher formation.,24
Rahul Patil,"September 25, 2022","Kids portals not for justice This portal was created to dump applications away from CM. I do not think a single application was seen by CM in their whole duration. I have done a complaint on women safety, alcohol and sever construction on city road in which one is moving from a year and their is no satisfactory answer on second one. I think only court can save this country.",14
A Legend Gamer 2.0,"June 5, 2022","Dear all, don't waste your time on this app. They don't send OTP on your mobile, there is no provision to send OTP on your e-mail. Worst app as it is not working, only mobile number is mandatory, while they asking your email but don't sent OTP on email.",35
sabhajeet dubey,"March 3, 2025","Excellent platform but ground level is satisfactory
1 person found this review helpful",0
A Google user,"March 23, 2019",Terrible Experience. Though the jansunwai portal is extremely great concept but most of the department doesn't take it seriously. Moreover the time given to the Disposal is just a formality nobody cares. Only one feedback is available for first time of disposal but if it reopened no feedback is available. Nobody cares about the authenticity of Disposal.,118
Narendra Jain,"February 10, 2021",I tried to lodge complaint against medical suprintendent balrampur hospital lucknow but every time the location shifts to rural locality. There is no way to change it.so the app doesnot help to register complaint. Please improve it and inform me when you have improved it .i will again try to lodge my complaint.,11
KK S,"March 21, 2022","App is fine but the government officials are so incompetent and unskilled that I do not expect my task to be properly done. Government's attempt to solve people's problems is greatly appreciated but as long as the current system isn't totally revamped, nothing is going to change.",36
Vibhushit Saxena,"May 5, 2021","Important App but app quality is not upto the mark. Many options are grey.. like.. you cannot choose rural or urban while submitting the complaint, which makes the app useless.. you cannot log your complaint..",14
Harsh Pathak,"March 7, 2021","Latest version of app have several technical issues, Attachments and Akhya Report is not being open. When you click on aakhya report automatically you will come at home page without opening of document. Please rectify Technical issues ASAP. I think technical team is updating apps without testing.",78
aditya agarwal,"February 3, 2022",This app is really very effective but if someone missused this app for wrong file for a genuine party then at least some penalty or punishment for wrong complaint filer.. This would suggest to add in this app as a terms and conditions so only genuine complaint filed on this app... For which it really created by developer,2
kapil saxena,"June 21, 2023",The only issue i faced in this app is document upload issue in jpeg or pdf formatt no upload button appear after selecting a document from phone .. Upload button missing in this app. Please update this asap,3
David Menon,"June 29, 2021","My experience with this app is terrible, when I've opted English as my language, so everything should be seen/written in English. But there are Hindi all over this app and not ordinary Hindi/Hinglish but pure Hindi. Isn't this a thopifai of Hindi language on citizen. Keep it simple, and use English fully in the app when a person chooses it as a preference language for communicating with you.",53
rohit kumar,"October 12, 2021","App doesn't serve it' purpose. Related officers close complaint by posting fake report or irrelevant report. Infact in most of the cases, feedback doesn't lead to any required action. It has proved to be a total waste of time here. If it is possible the please convey my message to political masters.",10
A Google user,"October 9, 2019","The Complaint tracker ain't working,my complaints are vanished and can't track them.I only got calls from department but they haven't done anything till date and also the app isn't good enough for what it was developed. disappointed.",11
Narsingh Yadaw,"July 21, 2020","Never seen such useless app because there is no internal allocation of complaint. User giving complaint details, Admin or call center must allocate case based on given details. LOV for English are not working. Feedback is given after ticket is closed bt this poor app doesn't allow. App idea is great but needs lot of improvement to make user experience good.",239
Prachi Singh,"May 6, 2020",Kindly check those link that given by up govt for jausunwai website there is database connectivity issues after submitting our forms. Igrs Error I request you to check your connectivity problems. I don't know this is right or wrong way to say something but seriously there is problem so resolve this. Regards Indian citizen,646
Sonu Gupta,"March 18, 2025",No need to access the contacts due to this I am not able to access it.,0
Anjali Gupta,"May 10, 2020",Need a lot of improvements. The migration form page refreshes every time phone tilts even a bit (even when phone rotation is off) and we have to start right from the beginning by submitting otp.,37
Sushma,"February 27, 2021",Nothing is happening after registering the complaint not even reminder is sending. This app plays only the emotion of people who are looking for solution for their problems. If govt has initiated such step they sud also track them strictly.,37
Sandeep Dubey,"January 12, 2025","If you file a complaint they are sending details if favour of guilty person.no action., no feedback only diplomatic things are happening
1 person found this review helpful",0
Ashok Kumar,"September 3, 2023","A useless app. I uninstalled it today because for the last 15 days whenever I tried to log in a message appears ""there is some error please try after sometime "" this app is nothing but an eyewash. Nothing happens.",0
Ajai Kumar Soni,"November 13, 2024","Some times crashes, and reinstalation is to be done.",0
SHIVAM MAURYA,"January 15, 2025","🙏🙏The government created this app to solve public problems but unfortunately even after such strict orders, most of the officials keep harassing the public again and again by doing fake solutions. Hence our humble request to the government is that please do not harass the public and listen to the problems of the public sensitively so that some improvement can be made. Most of the officers are like this due to for some money they do not listen to the problems of the poor people.🙏🙏😭😭",2
Padma Gs,"July 13, 2024","Very bad experience. Useless, after 2 days of my complainant you people sending message that the complainant could not be sent to the concern department as there is some technical issues and adviced me to go to awas vikas. When you people can't solve my problem then what is the use of jansunwai.",44
Harsh Tiwari,"July 22, 2020","it is a good app,my two grievances of repair of road has been done but i want to give a suggestion that plz use hindi(not so much pure hindi being used in app currently and not spoken by common public in their conversation) during feedback and in app while filling complaint and plz give an option of using english while giving status report too.",67
A Google user,"October 24, 2019","Still, shikayat ki sistith of Mukhmantri helpline is not reporting. I dont understand whats going on. The current updated version is not working, please do the necessary corrections. Nobody is monitoring the status of the complaints. Complaints are closed without attending the jobs. The very purpose of the App is lost.",0
Aniruddh Shukla,"September 13, 2022",App is great. Only if they could bring a search bar for selection of the appropriate department. Browsing through so many options is a tedious task.,92
anshuman gupta,"July 2, 2023","Worst App...i dont know why the most government apps are so frustrating. Does our government not pay to the maker of the apps?? When i lodge a complaint from my number and tried to track that complaint, it shows ""NO COMPLAINT REGISTERED FROM THIS NUMBER. PLEASE CHECK COMPLAINT FROM ANOTHER NUMBER"". what is this?
1 person found this review helpful",0
SHEKHAR SINGH,"August 4, 2020","it really a graet move fir good governance but if you make awareness about this to people it become more poerful tool for people. And at the end when ask about attach any file related to complaint make option to attach more than one file !
1 person found this review helpful",0
Dhanendra Parmar,"January 20, 2021","App has a very limited options available. Also department to which our application is forwarde , details must be shared such as email and mobile number. A lot more work needs to be done for further improvement.",2
Nitesh Kr Seth,"May 13, 2020","Feeling empowered,big thanks to UP CM. After looking at ratings and knowing about working of Govt. departments, i was not confident of getting resolutions. But when i started using it for genuine problems, relevant departments were made answerable and were compelled to resolve it in a time bound manner as they have to reply in writing. The mechanism of review on resolutions is also mind blowing. In one word i feel the power of being a CITIZEN now. Great initiative by UP CM.",6
A Google user,"June 13, 2019",this is worst app ever. Government is making people fool. They don't do any work on ground level but on paper they are saying that your problem has been solved. I was applied a complaint for handpump rebore but they just said that you have summersibble so they can't rebore my handpump. but the thing is that I don't have any summersibble.,21
ANKUR TOMAR,"November 24, 2022",I'm a bit dissatisfied and disappointed as departments keep on rolling the 'ball' to one another and wasting time. One drawback is that complain itself is going to the related department and it replies that this is not related to us. If the solution is not in your hands then you should be able to transfer it to the respective department other than cancelling it and the complaint has to be filed afresh. The customer care feedback is also acting smart giving you only 10 seconds to pick the phone,4
A Google user,"October 7, 2019","Yes it is good but the first version where the choice of officers filling option available was very good .because this when you complain it will give to the the lower officers and always it same , then the probability of judgement is no fair. 2nd one is the option of mukhymantri sikayat ,arthik madad etc the raising of complain option for this is not in this app",37
kapil saxena,"October 18, 2021",Sometimes complaints are disposed off without any solution. But if you keep a track and follow up continuously then it's done. There is not awareness in people about this app. But it is really a very good initiative by Uttar Pradesh government.,120
A Google user,"April 3, 2020","Application is not working. Everytime I want to open it- it gets crashed. I have unistalled and reinstalled it various time, still its not working. Technical Team shouod look into the issue.",44
"Chief Minister Office Uttar Pradesh Government,","April 6, 2020","please update or reinstall

Aalok Gupta
January 16, 2021
Mukhmantri portal do not take feedback properly. They give a ring and within few seconds disconnect the phone from all landline phone number. They don't speak or utter a single word. Thanks.",31
A Google user,"December 8, 2018",Apps don't show all district of UP in the pop-up window. It's problematic. please improve it and correct it. All functions works in proper ways,12
A Google user,"October 5, 2019",I files complaint many times regarding my problem but each time officer resolve the case without any resolution even not contacting via phone or not visiting location . It's totally time wasting and misleading app.,6
A Google user,"May 22, 2019","They attach complaints to.wrong department. the department returns the complaint and they close it without any action. No, number to give feedback, nobody respond over the email for technichal issues. worthless app, protecting the corrupt and incompetent officials. The complaints do not even reach to the CM.",21
A Google user,"May 11, 2019","This doesn't help at all. Shameful and lazy people of the departments don't provide any update even though I waited 1.5 months for the grievance to be resolved. It was resolved mentioning status ""Nistaarit"" but no resolution description or attachment as to what happened in resolution. How can someone understand what has been done with their grievance.",94
Vikash Sharma,"June 15, 2024","Only one lack is on this app that when any related officer submit own report without checking or without taking current status with applicent, you can not complaint on the top of the same complaint number. Only we able to create new complaint. This is right way......",43
Diwakar Singh,"February 20, 2025","Very Very Poor. Not Deserve to continue this portal.
1 person found this review helpful",0
Jeyakumar Nalarajan (LEF Lko),"April 1, 2025",Looking forward for good environment and services from the Government.,0
Motoo Motoo,"December 11, 2024",Now OTP not sent to your registered mobile no. That's why we not raised a complaint.,2
Ankit Saxena,"October 28, 2024","Unable to open the app , it is crashing again and again",3
Nitish Pandey,"October 25, 2024",This app is awesome..the related department is responding within 2 days.,2
Ayush Tripathi,"December 23, 2023","This is a scam. Every time I lodge a complain, government officials discard it citing any random reason. I have not had one instance where lodging a complain as simple as installing street light was ever even looked into. So much for digital governance!",84
ico sachin,"December 31, 2024",not able to open this application. error occurred due to network,0
gyanprakash rai,"January 16, 2025","not work means did not submit application before many months.
1 person found this review helpful",0
bullseye bullseye,"November 27, 2024",This is very useful app but most of the time app is down...there is no notice also,0
A Google user,"February 25, 2019","This is the best platform provided by our CM to resolve our societies issues related to any field i.e parking,cleanigness,electricity etc. Intially they closed our application by saying that issue are resolved but actually nothing happened like that.then i had sent request again and again finally their team came up and resolved the issue.the spam of time period was very long. These people are working only than if we are forcing them and reminding them again and again. It could be better.",0
A Google user,"November 21, 2019","App is fine with it various options, complain and suggestion can be send very fast. But the last action authority always ignore the instructions given by higher authority.",7
ashok kumar mishra,"December 21, 2024",Very nice app. One can reach our CM easily and convey the grievance to him.thanks a lot.,3
Tarun Varshney,"February 23, 2021",There is no option to assign the grievance to the Cyber Crime Police Station at range level so please include this functionality in the app. Also copy and paste functionality should be there in the app.,34
Shivam Srivastava,"September 13, 2021","It shows good app; but it couldn't succeed in its mission. Slow timing to send complaints, & incomplete solutions. Though worthless app.",3
Ravi Mishra,"March 3, 2024","App is very good but locating concerned department is tedious job. Not very much sure about effectiveness in implementation as many instances of false resolution of complaint heard. After using this App I noticed that level of resolution is not satisfactory. In most of the cases ""ONLY PAPER RESOLUTION"" is done by concerned departments. I hope public feedback of resolution is submitted before the Chief Minister ji.",112
A Google user,"October 19, 2019","I wanted to try this Jansunwai App. But after installation, it wants permission to access my contacts and make & manage phone calls. I denied the permission and without the permission it won't run. @UPGovt WHY does the app need these permission to run ?",10
Anuj Singh,"July 6, 2024","Track grievances option never works. I can register as many grievances as I want but when I try to open track grievances, error shows app is experiencing network issues.
1 person found this review helpful",0
Vineet Singh,"July 17, 2024","Sir, till date all the complaints that I have made on the portal have been resolved on the portal itself. As soon as I complained on the portal, it was resolved accordingly. No officer ever came for investigation. Any problem was resolved. No issue has been resolved till date",38
Surya M. Shrivastava,"August 28, 2024",It keep on rotating on the screen portrait and landscape even after screen rotation is lock. Kindly cure it as soon as possible. Everything else is fine.,4
vinod pratap,"April 8, 2021",App is positive and feedback feature is good. It can only be successful if all department are ready to resolve the issues of general public. All head of the department are required to take interest and without punitive measure it will not see light of the day.,109
shell chem,"July 25, 2024",This app is useless and the employees are not listening to register any complaint on helpline number if we write application by ourselves then still they didn't bother to look out and they never forward complaint to officers This portal is just a formality. Complaints are not resolved. This is a one way channel only. Many times complaints are closed with remarks which are difficult to understand for a common man. We get call also regarding resolution but the call is also again a formality. Pleas,13
Chandan Singh,"July 5, 2024","Worst App, so much technical problems, my whole complaint list is vanished automatically, I'm unable to find it completely, please provide an update to fix this problem.",37
AZ-Ayush_ creation,"October 17, 2021","Very bad experience, they can't register your complaint in proper manner, lack of suggestions, lack of proper alert and my more. I suggest that some update is must for better reference and be a people's reaching complaint platform update is must. Thank you",38
Dinesh Kumar,"September 22, 2022",This app just doesn't work. Every time I try to log in it shows... There may be some network issue... Worst app and even worse service.,14
YOGESH MISHRA,"April 8, 2024",This is made with Lots of departments and all is given in Hindi. Which i never relate with name so please make it english also and make some free text also like UP Rera etc if i type so it can show its Departement name also. This App is bit useless for me as i am not able to file complain on UP Rera departement and his Slow working process,52
Ankit Rai,"August 16, 2021",Doesn't even work properly. The fields can't retain the entered values. Got frustrated after attempting several times in vain.,12
A Google user,"October 19, 2019",Very very very bad app. I have no word to say about this app. This is the worst app they can't solve our problem. Total time wasting app. He always says I can't do anything because your problem is out of this department .Total time wasting app.,65
Ranjeet Verma,"March 20, 2022",It's very tough to operate this app nd submit complain. I have lodge a complaint at this app message received with complaint no. But when going to track the status the message is showing complaint no. And mobile no doesn't match.,17
A Google user,"October 4, 2019",There are lot of technical issues..Every time I tried to send feedback it says there is technical issues..some error. Complete waste.,20
A Google user,"December 27, 2018",This app is good but There is one problem tickets have been closed without user input. first it should be asked to user to feedback whether problem has been resolved or not once user say yes he is satisfy then only ticket should be closed. i am facing this issue i open ticket they close it with nonsence commentd,20
Nishakant Pandey,"August 6, 2021","Not very positive as the attitude of officer remains the same that of brushing aside the complaint instead of redressing it. Also they deal only on Hindi language, whereas they should also use English, the practical and universal language.",6
A Google user,"October 11, 2019",App not working. From last one month it is showing network issue. This app is a perfect example of how UP govt is working,6
A Google user,"October 6, 2018","Nothing is done after writing complain in this portal, Officers are finding the way to close the issue, or they are just mapping the issue to other department or closing the issue without any solution. No one wants to work they are just closing the issue in portal.",6
ASIM ARSLAN,"October 19, 2021","It is good app because my two big complains(Intermediate marksheet correction, Graduation marksheet) have been resolved. It takes time 2-3months to resolve your problem but finally it gives positive result.",0
